OID_,Value,Count,CLASSNAMES,R,G,B,RED,GREEN,BLUE
2,11,1046530.000000000000000,Open Water,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
4,13,109290.000000000000000,Developed-Upland Deciduous Forest,64,61,168,0.250980000000000,0.239216000000000,0.658824000000000
5,14,79007.000000000000000,Developed-Upland Evergreen Forest,68,79,137,0.266667000000000,0.309804000000000,0.537255000000000
6,15,102045.000000000000000,Developed-Upland Mixed Forest,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
7,16,38291.000000000000000,Developed-Upland Herbaceous,122,142,245,0.478431000000000,0.556863000000000,0.960784000000000
8,17,17809.000000000000000,Developed-Upland Shrubland,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
9,22,61494.000000000000000,Developed-Low Intensity,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
10,23,23181.000000000000000,Developed-Medium Intensity,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000
11,24,6417.000000000000000,Developed-High Intensity,173,0,28,0.678431000000000,0.000000000000000,0.109804000000000
12,25,432906.000000000000000,Developed-Roads,1,1,1,0.003921000000000,0.003921000000000,0.003921000000000
13,31,503.000000000000000,Barren,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000
14,32,3791.000000000000000,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,0.901961000000000,0.909804000000000,0.980392000000000
15,61,137.000000000000000,NASS-Vineyard,168,0,132,0.658824000000000,0.000000000000000,0.517647000000000
16,63,2084.000000000000000,NASS-Row Crop-Close Grown Crop,255,245,140,1.000000000000000,0.960784000000000,0.549020000000000
17,64,107121.000000000000000,NASS-Row Crop,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
18,65,93434.000000000000000,NASS-Close Grown Crop,255,237,119,1.000000000000000,0.929412000000000,0.466667000000000
19,68,2520.000000000000000,NASS-Wheat,250,227,163,0.980392000000000,0.890196000000000,0.639216000000000
23,110,4006.000000000000000,Tree Cover = 10%,204,255,153,0.800000000000000,1.000000000000000,0.600000000000000
24,111,2087.000000000000000,Tree Cover = 11%,202,252,151,0.792157000000000,0.988235000000000,0.592157000000000
25,112,2813.000000000000000,Tree Cover = 12%,199,250,147,0.780392000000000,0.980392000000000,0.576471000000000
26,113,3711.000000000000000,Tree Cover = 13%,194,247,143,0.760784000000000,0.968627000000000,0.560784000000000
27,114,4580.000000000000000,Tree Cover = 14%,192,245,142,0.752941000000000,0.960784000000000,0.556863000000000
28,115,9402.000000000000000,Tree Cover = 15%,188,242,138,0.737255000000000,0.949020000000000,0.541176000000000
29,116,7104.000000000000000,Tree Cover = 16%,183,240,134,0.717647000000000,0.941176000000000,0.525490000000000
30,117,8555.000000000000000,Tree Cover = 17%,181,237,133,0.709804000000000,0.929412000000000,0.521569000000000
31,118,10038.000000000000000,Tree Cover = 18%,178,235,129,0.698039000000000,0.921569000000000,0.505882000000000
32,119,11831.000000000000000,Tree Cover = 19%,173,232,125,0.678431000000000,0.909804000000000,0.490196000000000
33,120,13916.000000000000000,Tree Cover = 20%,173,232,125,0.678431000000000,0.909804000000000,0.490196000000000
34,121,16182.000000000000000,Tree Cover = 21%,170,230,122,0.666667000000000,0.901961000000000,0.478431000000000
